Date and Time: 09-Aug-2024 16:39:11
---------------------------------
N121; 2.710593; 2.322224; 0.463750; 
N122; 2.733277; 2.341658; 0.467631; 
N123; 2.755961; 2.361092; 0.471512; 
N124; 2.778645; 2.380526; 0.475393; 
N125; 2.801329; 2.399960; 0.479274; 
N126; 2.824013; 2.419393; 0.483155; 
N127; 2.846697; 2.438827; 0.487036; 
N128; 2.869381; 2.458261; 0.490917; 
N129; 2.892065; 2.477695; 0.494798; 
N130; 2.914749; 2.497129; 0.498679; 
N131; 2.937433; 2.516563; 0.502560; 
N132; 2.960117; 2.535996; 0.506441; 
N133; 2.982801; 2.555430; 0.510322; 
N134; 3.005485; 2.574864; 0.514202; 
N135; 3.028168; 2.594298; 0.518083; 
N136; 3.050852; 2.613732; 0.521964; 
N137; 3.073536; 2.633165; 0.525845; 
N138; 3.096220; 2.652599; 0.529726; 
N139; 3.118904; 2.672033; 0.533607; 
N140; 3.141588; 2.691467; 0.537488; 
N141; 3.164272; 2.710901; 0.541369; 
N142; 3.186956; 2.730335; 0.545250; 
N143; 3.209640; 2.749768; 0.549131; 
N144; 3.232324; 2.769202; 0.553012; 
N145; 3.255008; 2.788636; 0.556893; 
N146; 3.277692; 2.808070; 0.560774; 
N147; 3.300376; 2.827504; 0.564655; 
N148; 3.323060; 2.846938; 0.568536; 
N149; 3.345744; 2.866371; 0.572417; 
N150; 3.368427; 2.885805; 0.576298; 
N151; 3.391111; 2.905239; 0.580179; 
N152; 3.413795; 2.924673; 0.584060; 
N153; 3.436479; 2.944107; 0.587941; 
N154; 3.459163; 2.963540; 0.591821; 
N155; 3.481847; 2.982974; 0.595702; 
N156; 3.504531; 3.002408; 0.599583; 
N157; 3.527215; 3.021842; 0.603464; 
N158; 3.549899; 3.041276; 0.607345; 
N159; 3.572583; 3.060710; 0.611226; 
N160; 3.595267; 3.080143; 0.615107; 
N161; 3.617951; 3.099577; 0.618988; 
N162; 3.640635; 3.119011; 0.622869; 
N163; 3.663319; 3.138445; 0.626750; 
N164; 3.686003; 3.157879; 0.630631; 
N165; 3.708687; 3.177313; 0.634512; 
N166; 3.731370; 3.196746; 0.638393; 
N167; 3.754054; 3.216180; 0.642274; 
N168; 3.776738; 3.235614; 0.646155; 
N169; 3.799422; 3.255048; 0.650036; 
N170; 3.822106; 3.274482; 0.653917; 
N171; 3.844790; 3.293915; 0.657798; 
N172; 3.867474; 3.313349; 0.661679; 
N173; 3.890158; 3.332783; 0.665560; 
N174; 3.912842; 3.352217; 0.669440; 
N175; 3.935526; 3.371651; 0.673321; 
N176; 3.958210; 3.391085; 0.677202; 
N177; 3.980894; 3.410518; 0.681083; 
N178; 4.003578; 3.429952; 0.684964; 
N179; 4.026262; 3.449386; 0.688845; 
N180; 4.048946; 3.468820; 0.692726; 
N181; 4.071630; 3.488254; 0.696607; 
N182; 4.094313; 3.507687; 0.700488; 
N183; 4.116997; 3.527121; 0.704369; 
N184; 4.139681; 3.546555; 0.708250; 
N185; 4.162365; 3.565989; 0.712131; 
N186; 4.185049; 3.585423; 0.716012; 
N187; 4.207733; 3.604857; 0.719893; 
N188; 4.230417; 3.624290; 0.723774; 
N189; 4.253101; 3.643724; 0.727655; 
N190; 4.275785; 3.663158; 0.731536; 
N191; 4.298469; 3.682592; 0.735417; 
N192; 4.321153; 3.702026; 0.739298; 
N193; 4.343837; 3.721460; 0.743179; 
N194; 4.366521; 3.740893; 0.747059; 
N195; 4.389205; 3.760327; 0.750940; 
N196; 4.411889; 3.779761; 0.754821; 
N197; 4.434573; 3.799195; 0.758702; 
N198; 4.457256; 3.818629; 0.762583; 
N199; 4.479940; 3.838062; 0.766464; 
N200; 4.502624; 3.857496; 0.770345; 
N201; 4.525308; 3.876930; 0.774226; 
N202; 4.547992; 3.896364; 0.778107; 
N203; 4.570676; 3.915798; 0.781988; 
N204; 4.593360; 3.935232; 0.785869; 
