Date and Time: 09-Aug-2024 16:55:09
---------------------------------
N138 X3.096220 Y2.652599 Z0.529726
N139 X3.118904 Y2.672033 Z0.533607
N140 X3.141588 Y2.691467 Z0.537488
N141 X3.164272 Y2.710901 Z0.541369
N142 X3.186956 Y2.730335 Z0.545250
N143 X3.209640 Y2.749768 Z0.549131
N144 X3.232324 Y2.769202 Z0.553012
N145 X3.255008 Y2.788636 Z0.556893
N146 X3.277692 Y2.808070 Z0.560774
N147 X3.300376 Y2.827504 Z0.564655
N148 X3.323060 Y2.846938 Z0.568536
N149 X3.345744 Y2.866371 Z0.572417
N150 X3.368427 Y2.885805 Z0.576298
N151 X3.391111 Y2.905239 Z0.580179
N152 X3.413795 Y2.924673 Z0.584060
N153 X3.436479 Y2.944107 Z0.587941
N154 X3.459163 Y2.963540 Z0.591821
N155 X3.481847 Y2.982974 Z0.595702
N156 X3.504531 Y3.002408 Z0.599583
N157 X3.527215 Y3.021842 Z0.603464
N158 X3.549899 Y3.041276 Z0.607345
N159 X3.572583 Y3.060710 Z0.611226
N160 X3.595267 Y3.080143 Z0.615107
N161 X3.617951 Y3.099577 Z0.618988
N162 X3.640635 Y3.119011 Z0.622869
N163 X3.663319 Y3.138445 Z0.626750
N164 X3.686003 Y3.157879 Z0.630631
N165 X3.708687 Y3.177313 Z0.634512
N166 X3.731370 Y3.196746 Z0.638393
N167 X3.754054 Y3.216180 Z0.642274
N168 X3.776738 Y3.235614 Z0.646155
N169 X3.799422 Y3.255048 Z0.650036
N170 X3.822106 Y3.274482 Z0.653917
N171 X3.844790 Y3.293915 Z0.657798
N172 X3.867474 Y3.313349 Z0.661679
N173 X3.890158 Y3.332783 Z0.665560
N174 X3.912842 Y3.352217 Z0.669440
N175 X3.935526 Y3.371651 Z0.673321
N176 X3.958210 Y3.391085 Z0.677202
N177 X3.980894 Y3.410518 Z0.681083
N178 X4.003578 Y3.429952 Z0.684964
N179 X4.026262 Y3.449386 Z0.688845
N180 X4.048946 Y3.468820 Z0.692726
N181 X4.071630 Y3.488254 Z0.696607
N182 X4.094313 Y3.507687 Z0.700488
N183 X4.116997 Y3.527121 Z0.704369
N184 X4.139681 Y3.546555 Z0.708250
N185 X4.162365 Y3.565989 Z0.712131
N186 X4.185049 Y3.585423 Z0.716012
N187 X4.207733 Y3.604857 Z0.719893
N188 X4.230417 Y3.624290 Z0.723774
N189 X4.253101 Y3.643724 Z0.727655
N190 X4.275785 Y3.663158 Z0.731536
N191 X4.298469 Y3.682592 Z0.735417
N192 X4.321153 Y3.702026 Z0.739298
N193 X4.343837 Y3.721460 Z0.743179
N194 X4.366521 Y3.740893 Z0.747059
N195 X4.389205 Y3.760327 Z0.750940
N196 X4.411889 Y3.779761 Z0.754821
N197 X4.434573 Y3.799195 Z0.758702
N198 X4.457256 Y3.818629 Z0.762583
N199 X4.479940 Y3.838062 Z0.766464
N200 X4.502624 Y3.857496 Z0.770345
N201 X4.525308 Y3.876930 Z0.774226
N202 X4.547992 Y3.896364 Z0.778107
N203 X4.570676 Y3.915798 Z0.781988
N204 X4.593360 Y3.935232 Z0.785869
N205 X4.616044 Y3.954665 Z0.789750
N206 X4.638728 Y3.974099 Z0.793631
N207 X4.661412 Y3.993533 Z0.797512
N208 X4.684096 Y4.012967 Z0.801393
N209 X4.706780 Y4.032401 Z0.805274
N210 X4.729464 Y4.051835 Z0.809155
N211 X4.752148 Y4.071268 Z0.813036
N212 X4.774832 Y4.090702 Z0.816917
N213 X4.797515 Y4.110136 Z0.820798
N214 X4.820199 Y4.129570 Z0.824678
N215 X4.842883 Y4.149004 Z0.828559
N216 X4.865567 Y4.168437 Z0.832440
N217 X4.888251 Y4.187871 Z0.836321
N218 X4.910935 Y4.207305 Z0.840202
N219 X4.933619 Y4.226739 Z0.844083
N220 X4.956303 Y4.246173 Z0.847964
N221 X4.978987 Y4.265607 Z0.851845
N222 X5.001671 Y4.285040 Z0.855726
N223 X5.024355 Y4.304474 Z0.859607
N224 X5.047039 Y4.323908 Z0.863488
N225 X5.069723 Y4.343342 Z0.867369
N226 X5.092407 Y4.362776 Z0.871250
N227 X5.115091 Y4.382209 Z0.875131
N228 X5.137775 Y4.401643 Z0.879012
N229 X5.160458 Y4.421077 Z0.882893
N230 X5.183142 Y4.440511 Z0.886774
N231 X5.205826 Y4.459945 Z0.890655
N232 X5.228510 Y4.479379 Z0.894536
N233 X5.251194 Y4.498812 Z0.898417
N234 X5.273878 Y4.518246 Z0.902297
N235 X5.296562 Y4.537680 Z0.906178
N236 X5.319246 Y4.557114 Z0.910059
N237 X5.341930 Y4.576548 Z0.913940
N238 X5.364614 Y4.595982 Z0.917821
N239 X5.387298 Y4.615415 Z0.921702
N240 X5.409982 Y4.634849 Z0.925583
N241 X5.432666 Y4.654283 Z0.929464
N242 X5.455350 Y4.673717 Z0.933345
N243 X5.478034 Y4.693151 Z0.937226
N244 X5.500718 Y4.712584 Z0.941107
N245 X5.523401 Y4.732018 Z0.944988
N246 X5.546085 Y4.751452 Z0.948869
N247 X5.568769 Y4.770886 Z0.952750
N248 X5.591453 Y4.790320 Z0.956631
N249 X5.614137 Y4.809754 Z0.960512
N250 X5.636821 Y4.829187 Z0.964393
